idx,link_to_full_description,title,contributor_country,short_description,image,location-1-lat,location-1-lng,location-2-lat,location-2-lng,location-3-lat,location-3-lng,location-4-lat,location-4-lng,sdgs-tag-1,sdgs-tag-2,sdgs-tag-3,sdgs-tag-4,sdgs-tag-5,sdgs-tag-6,thematic_areas-tag-1,thematic_areas-tag-2,thematic_areas-tag-3,thematic_areas-tag-4,thematic_areas-tag-5,thematic_areas-tag-6
6113,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6113,Petra Green Community Enterprise (PetraGCE),Jordan,"Petra Green Community Enterprise ""PetraGCE""​ was established after years of research and effort aimed at finding the ideal solutions to water issues in arid regions. Many aspects of water treatment were thoroughly researched by Jordanian professionals, including nanotechnologies in water treatment, development operations of household water treatment systems, and how to find efficient and sustainable alternatives to minimize the water waste. The pinnacle of these efforts was finding a method for completely eliminating water waste in household water treatment systems operating by reverse osmosis by %100.

PetraGCE works in the following sectors: Water, Energy and Food. Targeting local Jordanian and neighborhood markets through providing environmentally friendly solutions, products and services for the purpose of improving and upgrading their clients’ existing processes, products, services to be more environmentally friendly.

PetraGCE provides variety of solutions, products and service:

• Innovative solutions for water issues, which include:

o Reverse Osmosis systems – Zero waste – PETRA-RO180

o Reverse Osmosis systems – Zero waste – PETRA-RO75

o PetraGCE rationalization unit (patentable product) – PETRA-RU

o PetraGCE Grey Water systems (Rasheed system)

• Design systems which respond to the needs of customers in most efficient and effective ways.

Moreover; PetraGCE provide capacity building, consultations and technical assistance support to equip Jordanian youth with skills and knowledge through job preparation, training, and mentoring/coaching to empower them to obtain better and more sustainable jobs in their geographic locations.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/c389e6ee-a226-4636-8a98-9e543f9130f6/fd0a53bd3b05d9a35a8594b74b2178a3.png,31.1667049,36.941628,,,,,,,Responsible consumption and production,Climate action,,,,,product,nature-based solutions,water management,,,
6091,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6091,T Connection,Guatemala,PVC T for connection between drainage pipes.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/60e4ebe6badcd8810545381c0833b7c4.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,climate change,clean energy,water mobilization,,,
6090,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6090,"Elbow for drainage
",Guatemala,Elbow that can be used to connect rain gutters or pipes.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/94d038992a926ff4af2c4f469d0a934c.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,climate change,clean water,water mobilization,,,
6089,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6089,"PVC pipe for rain descent
",Guatemala,"PVC pipe for rain descent. If a cross section is made, it could be used as a gutter as well. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/59d82d8a7eb8076f29abcf4f39acf207.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Responsible consumption and production,,,,clean water,climate change,water mobilization,,,
6088,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6088,PVC Gutter,Guatemala,Resistant PVC gutter.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/e98e5d681404c1be28ca99c32084611a.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Clean water and sanitation,Climate action,,,,climate change,water mobilization,clean water,,,
6086,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6086,PVC Durm Gutter,Guatemala,3 m durm gutter for water transport.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/d9f2b362688db9cc5ae94e34f51f9872.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,climate change,water mobilization,clean water,,,
6085,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6085,Iron Gutter,Guatemala,Galvanized gutter for water transport,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/925c159fcb72d85304ced889b6419b43.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Responsible consumption and production,,,,clean water,climate change,rain water collection,,,
6084,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6084,Galvanized gutter,Guatemala,Galvanized gutter for water transport.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/a8b62e12e5e3e3f17d71056ca35f2158.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Responsible consumption and production,,,,climate change,water transportation,clean water,,,
6083,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6083,Container Filter,Guatemala,Filter to capture cediments in the water stored in the rotopla tanks.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/c721c90349b8977b96d22c8b19739e28.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Clean water and sanitation,Climate action,,,,filter,climate change,clean water,,,
6082,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6082,Container Filter,Guatemala,Filter to capture cediments in the water stored in the rotopla tanks.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/9b3212b7e408219d397518720858b8f6.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,water conservation,clean water,container,,,
6081,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6081,Container Valve,Guatemala,Water outlet valve for water storage tanks.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/40ddcb96bcabdcb1c465a722964dc13d.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Climate action,Responsible consumption and production,,,,water conservation,climate change,clean water,,,
6080,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6080,Rotoplas Container,Guatemala,Container of 450 liters. Made of high density polyethylene. ,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/6abebc41b8640ac6da73657b329ee487.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Responsible consumption and production,,,,clean water,water conservation,climate change,,,
6079,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6079,Rotoplas Container,Guatemala,"container of 1,100 liters. Made of high density polyethylene. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/8937dcd7ba4ee88e86b3e4abe88b0543.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,containers,climate change,clean water,,,
6077,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6077,Rotoplas Container,Guatemala,"1,700 liter container. Made of high density polyethylene. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/a9ee92639feac28ae40fae559cf6fa20.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,climate change,clean water,container,,,
6076,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6076,Rotoplas Container,Guatemala,"Container of 2,500 liters. Made of high density polyethylene. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/87617d63509d470a89bb633c4e9dff40.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,climate change,clean water,fog,,,
6075,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6075,Raschel Mesh,Guatemala,"It is a type of knitted fabric that is used in a wide variety of applications, from clothing to the manufacture of industrial products. According to the literature consulted, it is the recommended mesh to collect water.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/dc5cdc189912fc148be1a9e24fd194db.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Responsible consumption and production,,,,clean water,climate change,fog capture,,,
6074,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6074,Saran for shade,Guatemala,Plastic material used in different areas for its resistance and price. It is usually used for shade but can be useful for collecting fog water.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/1529bcbd5d6dbb4a9fb77abbfff6037e.png,15.5855545,-90.345759,,,,,,,Climate action,Clean water and sanitation,Responsible consumption and production,,,,clean energy,rain water collection,climate change,,,
6073,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6073,PVC Tile,Guatemala,"Plastic shingles fulfill the same harvesting function as sheets, but aesthetically they could be better. A disadvantage is that they could generate some type of water loss due to their structure.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/65ced1581d1254ca64473a33d3070df2.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Responsible consumption and production,Climate action,,,,climate change,rain water collection,clean water,,,
6072,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6072,Plastic concrete tile,Guatemala,plastic tiles produced with recycled plastic resin. It is shock resistant and has a lifespan of up to 100 years.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/0c1fd5505e87a7d8b55f330e40245949.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Clean water and sanitation,Climate action,,,,clean water,climate change,rain water collection,,,
6071,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6071,Geomembrane,Guatemala,they are geosynthetic sheets that ensure the sealing of a surface. They are typically used to remedy water losses by infiltration or to prevent the migration of contaminants into the soil.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/efba73edea9c4fe82840ae31a06ccc80.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Clean water and sanitation,Climate action,,,,rain water collection,climate change,clean water,innovation,,
6070,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6070,Polyethylene plastic tarpaulins,Guatemala,"this form could be a substitute for the use of solid structures such as sheets or coated roofs, so it means greater ease of installation and also that they can be temporary rain collectors. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/7a13c32d9782ebf190e6e41cf9311eb1.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Clean water and sanitation,Climate action,,,,rain water collection,climate change,clean water,,,
6069,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6069,Aluzinc Sheets,Guatemala,Aluzinc has a high resistance to corrosion and also protects against abrasion. It also has very good thermal and light reflection properties. ,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/d9b67ce1c913a05c4449ef5a05015bd7.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Climate action,,,,innovation,climate change,rain water collection,,,
6068,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6068,PVC sheets,Guatemala,it is a resistant and durable material. Most pipes and water reservoirs are made of this material. ,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/5d2fb59bedbef3d4aa0e6c92c1dafc17.png,15.5855545,-90.345759,,,,,,,Responsible consumption and production,Clean water and sanitation,Climate action,,,,water harvesting,innovation,clean water,,,
6035,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6035,Mini grids for safe and affordable water supply to rural households,Bangladesh,"In Bangladesh, approximately 73 million individuals still lack access to safe water within their own homes. Merely 2% of rural households have the privilege of obtaining water through a piped water supply, meaning that an overwhelming 98% of rural households in Bangladesh are deprived of this convenience. The arduous task of collecting water falls on women and girls, who spend up to two hours each day engaged in this chore. Moreover, majority of households rely on potentially hazardous tube wells. Consequently, rural families, particularly children, face a heightened risk of diarrhoea, malnutrition, and stunted growth.

As a solution to this pressing issue, Max TapWater develops and operates mini grids for the provision of piped water supply, aiming to bring easy, safe, and affordable water to rural households in Bangladesh. By availing

this water supply services, households gain access to a continuous 24/7 water supply directly from their taps, with a minimum allocation of 80-100 litres per person per day across three water points within their homes (kitchen, toilet, and bathroom). Regular water quality testing is conducted to ensure the water's safety. The construction of these grids is not technically complex and relies on locally sourced materials. The innovation lies in the entrepreneurial model employed, which operates within small clusters of households and involves local entrepreneurs who can co-invest. 

Max TapWater was a grant recipient of the Youth Co:Lab Bangladesh's Springboard programme 4.0, a collaborative initiative by the UNDP and Citi Foundation.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/c0c35e0c-4586-474c-8717-d25340759ce4/b0f6d2ed33fc3feea665003c023fdd4d.png,22.34372503,90.32684326,,,,,,,Gender equality,Good health and well-being,Clean water and sanitation,,,,water supply,reducing gender inequalities,social entrepreneurship,safe drinking water,water management,
6018,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6018,Slow Sand Fiter,Guatemala,"Description: These filters are excellent for communities where there is no access to more efficient technologies. Through different layers of sand and gravel, the contaminants are filtered out through the final duct. It is important to emphasize that this type of filter is not effective for viruses, so other purification options should be considered beforehand.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/ec646b5168147483b854b4274418f688.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Good health and well-being,Clean water and sanitation,Climate action,,,water supply,water filtration,water scarcity,cimate change adaptation,,
6017,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6017,Description: It is a portable pasteurization device that combines solar and…,Guatemala,"Description: It is a portable pasteurization device that combines solar and thermal energy. It consists of a 5-liter polythene bag with a clear plastic bubble lining on the front and black plastic on the back.

It is placed under direct sunlight, where pasteurization is achieved thanks to the incidence of solar rays on the black layer. AquaPak has an indicator on the cap that warns the user that the treatment is finished.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/4e9bd1dfc00908c14e785ae469f5bb46.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,water filtration,climate change adaptation,water scarcity,,,
6016,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6016,Bio Sand Filter,Guatemala,"Description: It is a plastic container filled with sand and gravel, into which water is poured periodically. The biolayer of microorganisms that is created on the surface of the sand filters and removes pathogens from the water, which flows by hydrostatic pressure or siphon to a container of clean water. Sand and gravel are sourced locally.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/3dcf979692744aa3198c21100f12c5f8.png,15.5855545,-90.345759,,,,,,,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,,climate change adaptation,water supply,water filtration,water scarcity,,
6015,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6015,Membrane Filter,Guatemala,Description: ROAMfilter Plus is a diaphragm filter with an intuitive design in the form of a bicycle pump. The filter cartridge has pores of size 0.02 μm. It is used by holding it with the feet and pumping with the handle to pass the water from the source through the filter and to the integrated tap. It can also be used in a gravity-driven installation. The device weighs 4.2 kg.  ,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/89aa23502a6d8d2a1f165ca7fcd35e39.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Responsible consumption and production,Climate action,,water supply,water filtration,climate change adaptation,water scarcity,,
6014,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6014,Bucket and Candle Filter,Guatemala,"Description: Similar to traditional filters such as the eco filter, but in this case the filtration is done by a ""candle"" that is horizontal. It is supplied without the water containers, which must be purchased locally. It can be purchased as a siphon kit, with a tube connected to the filter that channels the water to a drinking water container.

Very easy to use. Maintenance is performed by cleaning the candle periodically, this being the safety mechanism.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/581c79b97295b8cc1fc10b6e85d24971.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Responsible consumption and production,Climate action,,,water supply,filtration,climate change adaptation,water scarcity,,
6013,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6013,Ozone Filter,Guatemala,Description: Ozone filters are an excellent filtration method for communities that have access to piped water. It can be installed in a community center where people have access during certain hours of the day to filter water for consumption.,https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/5f966e1a4d5dfb5a8738a9e9e052c455.png,15.5855545,-90.345759,14.6222328,-90.5185188,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,,,water supply,filtration,climate change adaptation,water scarcity,,
6012,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6012,Water Filter,Guatemala,"Description: Water for Life filters connect directly to the ""jet"" of the battery or any place where the water outlet is. Its filtration is almost immediate and protects people from diseases they can contract from drinking contaminated water.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/5d534d1d9e806930eac054ab0441742f.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,,,water supply,filtration,climate change adaptation,water scarcity,,
6011,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6011,Filter Straw,Guatemala,"Description: It is a method to filter any type of water. The straw can filter from the water coming out of the jet, to water from river, lake or wells. It is ideal for communities that do not have access to piped water and the bodies of water to which they have access are contaminated.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/d496f5cede6a399f1c0faeb70c6447ca.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,,,climate change adaptation,water scarcity,water sca,,,
6010,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6010,ECO Filter,Guatemala,"Description: ECOFILTRO is an ecological and aesthetic water purifier, dispenser and filter made from natural elements. Its filtration technology consists of: activated carbon, mud and colloidal silver. It is perfect for homes, workplaces or shared areas where water is needed for drinking.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/160f5efa5f5f153ad3cae3617cba4efa.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,,,hydroponic,water supply,climate change adaptation,water scarcity,,
6009,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6009,OLA Filter,Guatemala,"Description: The OLA filter offers a solution for communities with access to a water source through pipes, but that is contaminated or unfit for human consumption. Through tiny fibers, all contaminants in the water are trapped.

It should only be connected to the outlet of the ""Jet"" and the water that comes out of the filter is completely filtered.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/6ef43efdbfd440e6fe9616f8f81143d1.png,15.5855545,-90.345759,,,,,,,Good health and well-being,Clean water and sanitation,Sustainable cities and communities,Climate action,,,hydroponic,water supply,climate change adaptation,water scarcity,,
6008,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6008,Rice Husk,Guatemala,"Description: Rice husk is a by-product of the milling industry, which is abundant in the rice areas of many countries and offers good properties to be used as a hydroponic substrate. Among its main properties are that it is an organic substrate with a low decomposition rate, it is light, good drainage, good aeration and its main cost is transportation.

The main drawback of rice husk is its low moisture retention capacity and how difficult it is to achieve a good distribution of it when used as a single substrate in hydroponic cultivation.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/b3c81c5110b9497e6ebacd9f9e902491.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,hydroponic,water supply,climate change adaptation,water scarcity,,
6006,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6006,Coconut Fiber,Guatemala,"Description: Coconut fiber is a material that is extracted from coconuts, in order to reuse the organic matter that remains as waste when extracting the edible part of the coconut. It is very good for hydroponics as it retains moisture and is not compacted, which guarantees that there is oxygen, and that water circulates correctly throughout the crop.

Eventually it degrades and it is necessary to periodically change the substrate of hydroponic crops. One of the advantages of this product is that it can be obtained at a lower cost than other substrates, due to the fact of being extracted from a waste.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/69f7a3bc781b630020f95b3b32dda921.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,hydroponic,water supply,climate change adaptation,water scarcity,,
6005,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6005,Glass Stone,Guatemala,"Description: This substrate is a 100% natural and recycled growth medium, perfect for vegetables, herbs and flowering plants. The spaces between the recycled glass ""rocks"" open up more oxygen to the plant roots, while the texture of the rock retains water without drowning the roots. This combination favors the development of the root, which translates into a better absorption of nutrients and water.

In addition, it is a lightweight material and does not dirty the media where it is used. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/00462479e7161c4d39770687f403a4dc.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,hydroponic,water supply,climate change adaptation,water scarcity,,
6004,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6004,Clay Pellets,Guatemala,"Description: Fired clay pellets or granules are suitable for hydroponic systems in which all nutrients are carefully controlled in the aqueous solution. Clay granules have a neutral pH and do not contain any nutritional value.

The clay is formed into round granules and baked in rotary kilns. This causes the clay to expand, like popcorn, and become porous. It is lightweight and does not compact over time. The shape of each granule can be irregular or uniform, depending on the brand and manufacturing process.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/b80244aa5a9a18f9f6dfc46fabf34894.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,formalising the informal,hydroponic,climate change adaptation,water scarcity,,
6001,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6001,Rock Wool,Guatemala,"Description: Rock or mineral wool can retain large amounts of water and air that aid root growth and nutrient absorption in hydroponics; Its fibrous nature also provides a good mechanical structure to keep the plant stable. The naturally elevated pH of mineral wools makes them initially unsuitable for plant growth and requires ""conditioning"".

Rockwool is usually used only in the seedling phase or with freshly cut clones, but can remain with the base of the plant throughout its life.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/f09dab48b03ee866efe221c652be6d1e.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,hydroponic,water supply,climate change adaptation,water scarcity,,
6000,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=6000,Run to Waste System,Guatemala,"Description: In this system, nutrients are not recycled, but the plant receives a new mixture of nutrients constantly. The nutrients that have already been used are discarded by a final drain.

These systems typically use a substrate with a liquid retention similar to that of soil. That is, substrates maintain a high degree of humidity for a long period of time.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/7597508ab102d803ea870f942080ef84.png,-24.7761086,134.755,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,hydroponic,water supply,climate change adaptation,water scarcity,,
5999,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5999,Mist System,Guatemala,"Description: The system uses electric nebulizers (fog machines) that pump and vibrate under pressure to transform the mixture of nutrients and water into moisture, such as the humid atmosphere of a tropical or cloud area. This creates a constant moist, nutrient-rich fog for plant roots. ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/db9e2106f1353b49036cb9e3dd481ddc.png,-24.7761086,134.755,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,water supply,climate change adaptation,water scarcity,hydroponics,,
5998,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5998,Ebb and Flow System,Guatemala,"Description: In an ebb and flow system, plant pots are temporarily flooded with nutrient solution and then drained back into the reservoir.

The flow is caused by a pump connected to a timer that is activated several times a day. When it stops working, the solution flows back into the tank.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/862048353a19a59a4caf1fd4996db3cb.png,15.5855545,-90.345759,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,water supply,water scarcity,hydroponics,cliamte change adaptation,,
5997,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5997,Drip Irrigation,Guatemala,"Description: In these irrigation systems, a timer controls a pump that causes the nutrient solution to drip onto the bottom of the plants. In some of these systems, it is possible to recover excess nutrient solution for reuse, while in others excess solution is discarded.",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/71d28609db1c48704d5206176f5776a6.png,10.2735633,-84.0739102,,,,,,,Climate action,Sustainable cities and communities,Responsible consumption and production,,,,water,hydroponic,water supply,climate change adaptation,,
5996,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5996,Aeroponics System,Guatemala,"Description: Technique in which the roots are suspended in the air, within a dark medium, and watered with nutrient solution in frequency of a few minutes. Although it is a highly efficient technique, the roots can quickly dry out irrigation cycles are disrupted.  ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/4deb255a484dbc7556083e419c109043.png,12.6090157,-85.2936911,,,,,,,Responsible consumption and production,Sustainable cities and communities,Climate action,,,,water supply,water management,water scarcity,hydroponics,,
5995,https://solutions.sdg-innovation-commons.org/en/edit/pad?id=5995,Floating Root System,Guatemala,"Description: In this method, the plants are found in a sheet or raft – usually made of duroport – that floats on top of the nutrient solution, so that their roots are immersed within the solution. An air pump provides the roots with the oxygen necessary for their optimal development.   ",https://acclabplatforms.blob.core.windows.net/solutions-mapping/uploads/sm/97a8ad8c-b5f5-4e0c-b0e9-21135c8c7143/683bf7e2c9230cda2c954afcdeda7059.png,12.6090157,-85.2936911,,,,,,,Sustainable cities and communities,Responsible consumption and production,Climate action,,,,water supply,climate change adaptation,hydroponics,,,
